Año,Mes,Delegación,Reclamos
2023,1,Bahía Blanca - Buenos Aires,8
2023,1,Catamarca,26
2023,1,Chaco,33
2023,1,Comodoro Rivadavia - Chubut,12
2023,1,Córdoba,190
2023,1,Corrientes,30
2023,1,Entre Ríos,98
2023,1,Formosa,9
2023,1,General Pico - La Pampa,2
2023,1,Jujuy,11
2023,1,La Plata - Buenos Aires,255
2023,1,La Rioja,20
2023,1,Mar del Plata - Buenos Aires,111
2023,1,Mendoza,59
2023,1,Misiones,30
2023,1,Neuquén,42
2023,1,Rosario - Santa Fé,260
2023,1,Salta,15
2023,1,San Juan,52
2023,1,San Luis,13
2023,1,Santa Cruz,4
2023,1,Santa Fé,72
2023,1,Santiago del Estero,11
2023,1,SAU - Subdirección de Atención al Usuario,787
2023,1,Tierra del Fuego,18
2023,1,Tucumán,45
2023,1,Viedma - Río Negro,33
2023,1,Bariloche - Rio Negro,10
2023,2,Bahía Blanca - Buenos Aires,10
2023,2,Catamarca,11
2023,2,Chaco,34
2023,2,Comodoro Rivadavia - Chubut,19
2023,2,Córdoba,147
2023,2,Corrientes,37
2023,2,Entre Ríos,78
2023,2,Formosa,9
2023,2,Jujuy,5
2023,2,La Pampa,2
2023,2,La Plata - Buenos Aires,221
2023,2,La Rioja,31
2023,2,Mar del Plata - Buenos Aires,87
2023,2,Mendoza,44
2023,2,Misiones,27
2023,2,Neuquén,47
2023,2,Rosario - Santa Fé,267
2023,2,Salta,38
2023,2,San Juan,40
2023,2,San Luis,11
2023,2,Santa Cruz,6
2023,2,Santa Fé,68
2023,2,Santiago del Estero,11
2023,2,SAU - Subdirección de Atención al Usuario,752
2023,2,Tierra del Fuego,20
2023,2,Tucumán,33
2023,2,Viedma - Río Negro,28
2023,2,Bariloche - Rio Negro,8
2023,3,Bahía Blanca - Buenos Aires,14
2023,3,Catamarca,17
2023,3,Chaco,61
2023,3,Comodoro Rivadavia - Chubut,18
2023,3,Córdoba,248
2023,3,Corrientes,84
2023,3,Entre Ríos,104
2023,3,Formosa,21
2023,3,Jujuy,11
2023,3,La Pampa,1
2023,3,La Plata - Buenos Aires,221
2023,3,La Rioja,9
2023,3,Mar del Plata - Buenos Aires,100
2023,3,Mendoza,72
2023,3,Misiones,37
2023,3,Neuquén,54
2023,3,Rosario - Santa Fé,279
2023,3,Salta,19
2023,3,San Juan,60
2023,3,San Luis,9
2023,3,Santa Cruz,1
2023,3,Santa Fé,84
2023,3,Santiago del Estero,31
2023,3,SAU - Subdirección de Atención al Usuario,973
2023,3,Tierra del Fuego,25
2023,3,Tucumán,39
2023,3,Viedma - Río Negro,22
2023,3,Bariloche - Rio Negro,7
2023,4,Bahía Blanca - Buenos Aires,12
2023,4,Catamarca,24
2023,4,Chaco,45
2023,4,Comodoro Rivadavia - Chubut,15
2023,4,Córdoba,152
2023,4,Corrientes,43
2023,4,Entre Ríos,63
2023,4,Formosa,8
2023,4,Jujuy,11
2023,4,La Pampa,8
2023,4,La Plata - Buenos Aires,133
2023,4,La Rioja,6
2023,4,Mar del Plata - Buenos Aires,91
2023,4,Mendoza,45
2023,4,Misiones,16
2023,4,Neuquén,42
2023,4,Rosario - Santa Fé,215
2023,4,Salta,17
2023,4,San Juan,13
2023,4,San Luis,5
2023,4,Santa Cruz,4
2023,4,Santa Fé,59
2023,4,Santiago del Estero,8
2023,4,SAU - Subdirección de Atención al Usuario,583
2023,4,Tierra del Fuego,10
2023,4,Tucumán,25
2023,4,Viedma - Río Negro,19
2023,4,Bariloche - Rio Negro,8
2023,5,Bahía Blanca - Buenos Aires,6
2023,5,Catamarca,12
2023,5,Chaco,39
2023,5,Comodoro Rivadavia - Chubut,12
2023,5,Córdoba,157
2023,5,Corrientes,46
2023,5,Entre Ríos,62
2023,5,Formosa,23
2023,5,Jujuy,18
2023,5,La Pampa,2
2023,5,La Plata - Buenos Aires,152
2023,5,La Rioja,14
2023,5,Mar del Plata - Buenos Aires,124
2023,5,Mendoza,24
2023,5,Misiones,23
2023,5,Neuquén,28
2023,5,Rosario - Santa Fé,126
2023,5,Salta,15
2023,5,San Juan,14
2023,5,San Luis,9
2023,5,Santa Cruz,1
2023,5,Santa Fé,52
2023,5,Santiago del Estero,11
2023,5,SAU - Subdirección de Atención al Usuario,538
2023,5,Tierra del Fuego,11
2023,5,Tucumán,24
2023,5,Viedma - Río Negro,26
2023,5,Bariloche - Rio Negro,8
